MolWt,LogP,NumHDonors,NumHAcceptors,TPSA,RotatableBonds,NumAromaticAtoms,NumSP2Atoms,NumC,NumN,NumO,NumS,NumF,NumCl,NumBr,Label
300.442,5.6026,1,1,37.3,5,0,13,20,0,2,0,0,0,0,1
430.379,2.87958,2,5,107.26,5,12,17,18,2,4,1,4,0,0,1
488.577,3.6993,1,8,116.2,6,0,15,27,0,8,0,0,0,0,1
418.446,2.9708,1,8,117,8,6,20,21,2,7,0,0,0,0,1
379.5,4.3611,0,4,38.77,6,12,16,24,1,3,0,0,0,0,1
356.447,3.1596,1,5,68.29,7,12,18,19,2,3,1,0,0,0,1
212.249,0.7949,2,3,75.27,3,0,8,10,2,3,0,0,0,0,1
181.213,-0.5996,2,3,83.47,4,0,5,5,1,4,1,0,0,0,1
199.162,-1.0956,2,4,87.07,2,0,9,8,1,5,0,0,0,0,1
403.212,5.0309,1,4,60.45,7,12,17,17,2,3,0,2,2,0,1
433.501,2.52402,1,8,94.53,9,6,16,23,1,7,0,0,0,0,1
225.208,-1.3318,3,7,119.05,4,9,11,8,5,3,0,0,0,0,1
290.832,3.6444,0,0,0,0,0,0,6,0,0,0,0,6,0,1
211.224,1.617,1,3,69.54,1,12,13,12,3,1,0,0,0,0,1
418.446,2.9708,1,8,117,8,6,20,21,2,7,0,0,0,0,1
720.962,5.9052,4,9,145.78,17,22,33,37,6,5,2,0,0,0,1
149.237,1.9664,1,1,26.02,2,6,6,10,1,0,0,0,0,0,1
581.673,1.9908,3,6,118.21,4,15,26,33,5,5,0,0,0,0,1
310.437,3.9156,1,2,29.46,1,6,7,21,0,2,0,0,0,0,1
572.875,6.1105,0,4,52.6,4,0,6,35,2,4,0,0,0,0,1
259.349,2.5676,1,2,38.33,4,6,10,16,1,2,0,0,0,0,1
214.092,1.2391,1,2,40.54,6,0,3,7,1,2,0,0,2,0,0
319.232,2.3151,2,3,66.56,9,6,10,14,2,2,0,0,2,0,0
226.663,1.346,2,3,64.35,2,6,11,10,2,2,0,0,1,0,0
240.306,2.6822,2,2,41.13,4,12,15,15,2,1,0,0,0,0,0
312.406,3.2309,0,5,46.15,2,0,0,17,0,5,0,0,0,0,0
283.332,0.7567,3,7,99.61,7,6,12,12,5,3,0,0,0,0,0
231.133,2.7751,0,1,17.07,0,0,2,10,0,1,0,0,0,1,0
212.636,1.1614,2,2,72.19,2,6,12,9,2,2,0,0,1,0,0
211.648,1.7638,1,2,38.33,2,6,10,10,1,2,0,0,1,0,0
244.028,0.1552,1,3,38.69,2,0,0,5,0,3,0,0,0,0,0
287.186,4.7522,1,1,37.3,3,6,9,14,0,2,0,0,2,0,0
326.399,-0.3037,2,6,81.08,1,0,10,13,2,4,2,0,0,0,0
258.055,0.5437,1,3,38.69,2,0,0,6,0,3,0,0,0,0,0
305.205,1.925,2,3,66.56,8,6,10,13,2,2,0,0,2,0,0
305.205,1.925,2,3,66.56,8,6,10,13,2,2,0,0,2,0,0
219.628,0.69942,1,5,81.19,4,5,8,7,3,3,0,0,1,0,0
329.361,4.2851,0,4,31.35,5,16,18,17,1,2,1,0,0,0,0
323.588,2.8352,0,2,32.78,7,0,1,9,2,2,0,0,3,0,0
344.242,2.4063,3,3,82.35,8,9,13,15,3,2,0,0,2,0,0
241.25,1.5511,2,4,74.58,3,12,18,13,3,2,0,0,0,0,0
277.733,0.1938,2,4,92.5,3,6,11,9,3,3,1,0,1,0,0
276.163,2.97722,1,2,40.54,6,6,10,12,1,2,0,0,2,0,0
211.058,2.6213,0,1,17.07,2,6,10,9,0,1,0,0,0,1,0
218.127,2.9706,0,1,3.24,5,6,7,10,1,0,0,0,2,0,0
282.336,2.3949,0,5,53.99,0,0,3,15,0,5,0,0,0,0,0
179.179,-0.1375,2,3,71.09,1,6,12,8,3,2,0,0,0,0,0
283.808,1.85424,1,4,55.68,4,11,12,12,4,0,1,0,1,0,0
242.666,-0.3275,0,6,61.82,2,9,11,9,4,2,0,0,1,0,0
242.23,2.6154,0,4,52.6,2,12,18,14,0,4,0,0,0,0,0
192.268,3.1552,0,4,24.72,2,6,10,8,2,0,2,0,0,0,0
342.875,5.4203,0,5,18.46,8,6,7,11,0,2,3,0,1,0,0
320.172,1.2034,3,4,86.63,6,6,11,13,1,4,0,0,2,0,0
304.217,3.3779,1,2,40.54,9,6,10,14,1,2,0,0,2,0,0
331.026,3.118,1,2,40.54,5,6,9,11,1,2,0,0,4,0,0
266.128,0.65562,2,3,68.96,5,6,9,9,3,2,0,0,2,0,0
268.187,4.1238,0,1,3.24,5,10,11,14,1,0,0,0,2,0,0
323.175,4.3219,0,3,43.37,6,12,17,16,0,3,0,0,2,0,0
161.657,2.23282,0,2,12.89,2,5,5,6,1,0,1,0,1,0,0
315.158,4.6697,0,4,27.69,6,6,8,10,0,3,1,0,2,0,0
234.082,2.1587,1,2,40.54,2,6,10,9,1,2,0,0,2,0,0
328.151,3.2653,0,4,59.75,4,11,17,14,1,4,0,0,2,0,0
304.352,3.58472,0,6,53.47,7,6,8,12,2,3,1,0,0,0,0
277.323,3.57518,0,3,50.09,4,12,17,18,1,2,0,0,0,0,0
277.238,2.79932,0,6,70.83,5,6,11,9,1,5,1,0,0,0,0
278.335,3.61302,0,5,27.69,5,6,8,10,0,3,2,0,0,0,0
249.673,0.38632,2,3,68.96,5,6,9,9,3,2,0,1,1,0,0
344.451,2.5852,2,4,74.6,1,0,8,21,0,4,0,0,0,0,0
274.26,0.9904,2,3,72.19,4,12,16,14,2,2,0,0,0,0,0
229.239,1.8286,1,4,67.49,3,11,16,12,3,2,0,0,0,0,0
242.706,1.748,2,3,50.36,5,6,10,11,2,2,0,0,1,0,0
179.223,0.7244,2,3,54.02,3,6,9,9,3,1,0,0,0,0,0
231.255,1.41762,2,4,67.16,4,11,14,12,3,2,0,0,0,0,0
137.142,-0.3149,2,3,68.01,1,6,9,6,3,1,0,0,0,0,0
290.832,3.6444,0,0,0,0,0,0,6,0,0,0,0,6,0,0
173.039,0.435,2,2,40.46,4,0,0,5,0,2,0,0,2,0,0
111.1,0.23918,0,3,50.09,1,0,5,5,1,2,0,0,0,0,0
305.205,1.925,2,3,66.56,8,6,10,13,2,2,0,0,2,0,0
305.205,1.925,2,3,66.56,8,6,10,13,2,2,0,0,2,0,0
312.24,4.44082,0,2,12.47,6,10,12,16,1,1,0,0,2,0,0
332.694,4.7245,0,2,3.24,5,9,9,13,1,0,1,0,1,1,0
269.261,0.464,1,6,118.21,6,5,14,10,5,4,0,0,0,0,0
189.554,1.6093,0,4,73.35,3,5,10,6,1,4,0,0,1,0,0
275.22,1.6573,2,6,117.97,4,11,20,12,3,5,0,0,0,0,0
295.299,-0.1147,1,7,104.22,5,5,13,12,5,4,0,0,0,0,0
226.192,0.9223,1,5,114.97,4,5,14,8,4,4,0,0,0,0,0
197.15,0.6578,1,5,97.74,3,5,13,7,3,4,0,0,0,0,0
272.285,4.1214,0,5,64.73,4,12,18,13,2,3,1,0,0,0,0
341.495,5.02068,0,3,50.09,1,0,5,22,1,2,0,0,0,0,0
250.261,1.47918,1,4,68.49,0,0,16,14,4,1,0,0,0,0,0
329.312,1.5609,2,6,110.11,6,12,22,16,3,5,0,0,0,0,0
304.217,3.0762,0,3,29.54,8,6,10,14,1,2,0,0,2,0,0
151.169,0.6818,3,2,67.15,2,6,11,7,3,1,0,0,0,0,0
317.328,2.4906,0,6,55.84,5,6,12,11,1,4,2,0,0,0,0
349.262,-0.3116,4,4,82.26,2,0,6,14,4,2,0,0,2,0,0
333.394,3.30752,0,7,56.71,9,6,9,13,3,3,1,0,0,0,0
206.289,1.8535,2,2,41.13,3,6,9,12,2,1,0,0,0,0,0
234.339,3.1631,0,2,34.14,2,0,6,15,0,2,0,0,0,0,0
340.341,2.9088,0,7,62.58,7,12,15,14,2,4,1,0,0,0,0
305.34,2.52732,0,7,56.71,7,6,9,11,3,3,1,0,0,0,0
321.549,4.5429,0,4,27.69,4,6,8,8,0,3,1,0,3,0,0
250.254,1.2756,2,4,87.99,5,6,15,12,2,4,0,0,0,0,0
